Time, Na, Na_plus
1.7820000000000003e-2, 26, 74
1.785e-2, 32, 68
1.788e-2, 35, 65
1.791e-2, 30, 70
1.7939999999999998e-2, 29, 71
1.7969999999999996e-2, 25, 75
1.7999999999999995e-2, 28, 72
1.8029999999999994e-2, 30, 70
1.8059999999999993e-2, 29, 71
1.808999999999999e-2, 25, 75
1.811999999999999e-2, 24, 76
1.814999999999999e-2, 23, 77
1.8179999999999988e-2, 23, 77
1.8209999999999987e-2, 23, 77
1.8239999999999985e-2, 31, 69
1.8269999999999984e-2, 26, 74
1.8299999999999983e-2, 26, 74
1.832999999999998e-2, 24, 76
1.835999999999998e-2, 28, 72
1.838999999999998e-2, 25, 75
1.8419999999999978e-2, 27, 73
1.8449999999999977e-2, 26, 74
1.8479999999999976e-2, 23, 77
1.8509999999999974e-2, 24, 76
1.8539999999999973e-2, 28, 72
1.8569999999999972e-2, 25, 75
1.859999999999997e-2, 23, 77
1.862999999999997e-2, 23, 77
1.865999999999997e-2, 27, 73
1.8689999999999967e-2, 28, 72
1.8719999999999966e-2, 28, 72
1.8749999999999965e-2, 25, 75
1.8779999999999963e-2, 31, 69
1.8809999999999962e-2, 28, 72
1.883999999999996e-2, 27, 73
1.886999999999996e-2, 29, 71
1.889999999999996e-2, 27, 73
1.8929999999999957e-2, 27, 73
1.8959999999999956e-2, 21, 79
1.8989999999999955e-2, 24, 76
1.9019999999999954e-2, 24, 76
1.9049999999999952e-2, 24, 76
1.907999999999995e-2, 27, 73
1.910999999999995e-2, 25, 75
1.913999999999995e-2, 26, 74
1.9169999999999947e-2, 30, 70
1.9199999999999946e-2, 22, 78
1.9229999999999945e-2, 25, 75
1.9259999999999944e-2, 26, 74
1.9289999999999943e-2, 26, 74
1.931999999999994e-2, 25, 75
1.934999999999994e-2, 29, 71
1.937999999999994e-2, 25, 75
1.9409999999999938e-2, 23, 77
1.9439999999999936e-2, 24, 76
1.9469999999999935e-2, 26, 74
1.9499999999999934e-2, 27, 73
1.9529999999999933e-2, 28, 72
1.955999999999993e-2, 24, 76
1.958999999999993e-2, 22, 78
1.961999999999993e-2, 26, 74
1.9649999999999928e-2, 24, 76
1.9679999999999927e-2, 24, 76
1.9709999999999925e-2, 25, 75
1.9739999999999924e-2, 25, 75
1.9769999999999923e-2, 27, 73
1.9799999999999922e-2, 21, 79
1.982999999999992e-2, 21, 79
1.985999999999992e-2, 27, 73
1.9889999999999918e-2, 23, 77
1.9919999999999917e-2, 20, 80
1.9949999999999916e-2, 19, 81
1.9979999999999914e-2, 22, 78
2.0009999999999913e-2, 23, 77
2.0039999999999912e-2, 23, 77
2.006999999999991e-2, 21, 79
2.009999999999991e-2, 24, 76
2.012999999999991e-2, 23, 77
2.0159999999999907e-2, 23, 77
2.0189999999999906e-2, 24, 76
2.0219999999999905e-2, 25, 75
2.0249999999999903e-2, 30, 70
2.0279999999999902e-2, 26, 74
2.03099999999999e-2, 24, 76
2.03399999999999e-2, 19, 81
2.03699999999999e-2, 22, 78
2.0399999999999897e-2, 22, 78
2.0429999999999896e-2, 24, 76
2.0459999999999895e-2, 25, 75
2.0489999999999894e-2, 23, 77
2.0519999999999892e-2, 23, 77
2.054999999999989e-2, 22, 78
2.057999999999989e-2, 25, 75
2.060999999999989e-2, 27, 73
2.0639999999999888e-2, 23, 77
2.0669999999999886e-2, 19, 81
2.0699999999999885e-2, 16, 84
2.0729999999999884e-2, 18, 82
2.0759999999999883e-2, 22, 78
2.078999999999988e-2, 24, 76
2.081999999999988e-2, 22, 78
2.084999999999988e-2, 21, 79
2.0879999999999878e-2, 20, 80
2.0909999999999877e-2, 21, 79
2.0939999999999875e-2, 18, 82
2.0969999999999874e-2, 20, 80
2.0999999999999873e-2, 21, 79
2.102999999999987e-2, 20, 80
2.105999999999987e-2, 25, 75
2.108999999999987e-2, 27, 73
2.1119999999999868e-2, 25, 75
2.1149999999999867e-2, 27, 73
2.1179999999999866e-2, 25, 75
2.1209999999999864e-2, 26, 74
2.1239999999999863e-2, 30, 70
2.1269999999999862e-2, 23, 77
2.129999999999986e-2, 23, 77
2.132999999999986e-2, 20, 80
2.135999999999986e-2, 20, 80
2.1389999999999857e-2, 23, 77
2.1419999999999856e-2, 22, 78
2.1449999999999855e-2, 22, 78
2.1479999999999853e-2, 19, 81
2.1509999999999852e-2, 20, 80
2.153999999999985e-2, 22, 78
2.156999999999985e-2, 21, 79
2.159999999999985e-2, 27, 73
2.1629999999999847e-2, 27, 73
2.1659999999999846e-2, 21, 79
2.1689999999999845e-2, 23, 77
2.1719999999999844e-2, 23, 77
2.1749999999999842e-2, 23, 77
2.177999999999984e-2, 25, 75
2.180999999999984e-2, 26, 74
2.183999999999984e-2, 24, 76
2.1869999999999837e-2, 25, 75
2.1899999999999836e-2, 24, 76
2.1929999999999835e-2, 28, 72
2.1959999999999834e-2, 26, 74
2.1989999999999833e-2, 22, 78
2.201999999999983e-2, 22, 78
2.204999999999983e-2, 24, 76
2.207999999999983e-2, 23, 77
2.2109999999999828e-2, 22, 78
2.2139999999999826e-2, 23, 77
2.2169999999999825e-2, 27, 73
2.2199999999999824e-2, 23, 77
2.2229999999999823e-2, 25, 75
2.225999999999982e-2, 22, 78
2.228999999999982e-2, 23, 77
2.231999999999982e-2, 22, 78
2.2349999999999818e-2, 24, 76
2.2379999999999817e-2, 26, 74
2.2409999999999815e-2, 26, 74
2.2439999999999814e-2, 28, 72
2.2469999999999813e-2, 26, 74
2.2499999999999812e-2, 27, 73
2.252999999999981e-2, 21, 79
2.255999999999981e-2, 20, 80
2.2589999999999808e-2, 21, 79
2.2619999999999807e-2, 21, 79
2.2649999999999806e-2, 20, 80
2.2679999999999804e-2, 21, 79
2.2709999999999803e-2, 23, 77
2.2739999999999802e-2, 21, 79
2.27699999999998e-2, 23, 77
2.27999999999998e-2, 21, 79
2.28299999999998e-2, 26, 74
2.2859999999999797e-2, 20, 80
2.2889999999999796e-2, 19, 81
2.2919999999999795e-2, 22, 78
2.2949999999999793e-2, 21, 79
2.2979999999999792e-2, 23, 77
2.300999999999979e-2, 23, 77
2.303999999999979e-2, 25, 75
2.306999999999979e-2, 25, 75
2.3099999999999787e-2, 32, 68
2.3129999999999786e-2, 27, 73
2.3159999999999785e-2, 28, 72
2.3189999999999784e-2, 31, 69
2.3219999999999782e-2, 26, 74
2.324999999999978e-2, 22, 78
2.327999999999978e-2, 25, 75
2.330999999999978e-2, 28, 72
2.3339999999999778e-2, 28, 72
2.3369999999999776e-2, 25, 75
2.3399999999999775e-2, 26, 74
2.3429999999999774e-2, 26, 74
2.3459999999999773e-2, 28, 72
2.348999999999977e-2, 21, 79
2.351999999999977e-2, 21, 79
2.354999999999977e-2, 20, 80
2.3579999999999768e-2, 23, 77
2.3609999999999767e-2, 25, 75
2.3639999999999765e-2, 29, 71
2.3669999999999764e-2, 33, 67
2.3699999999999763e-2, 28, 72
2.372999999999976e-2, 25, 75
2.375999999999976e-2, 30, 70
