Time, H, H_Bound
1.8779999999999919e-3, 9, 91
1.8839999999999918e-3, 9, 91
1.8899999999999917e-3, 9, 91
1.8959999999999917e-3, 9, 91
1.9019999999999916e-3, 9, 91
1.9079999999999915e-3, 9, 91
1.9139999999999914e-3, 9, 91
1.9199999999999914e-3, 9, 91
1.9259999999999913e-3, 9, 91
1.9319999999999912e-3, 9, 91
1.9379999999999912e-3, 9, 91
1.943999999999991e-3, 9, 91
1.949999999999991e-3, 9, 91
1.955999999999991e-3, 9, 91
1.961999999999991e-3, 9, 91
1.967999999999991e-3, 9, 91
1.973999999999991e-3, 9, 91
1.979999999999991e-3, 9, 91
1.985999999999991e-3, 9, 91
1.9919999999999907e-3, 9, 91
1.9979999999999907e-3, 9, 91
2.0039999999999906e-3, 9, 91
2.0099999999999905e-3, 9, 91
2.0159999999999905e-3, 9, 91
2.0219999999999904e-3, 9, 91
2.0279999999999903e-3, 9, 91
2.0339999999999902e-3, 9, 91
2.03999999999999e-3, 9, 91
2.04599999999999e-3, 9, 91
2.05199999999999e-3, 9, 91
2.05799999999999e-3, 9, 91
2.06399999999999e-3, 9, 91
2.06999999999999e-3, 9, 91
2.0759999999999897e-3, 9, 91
2.0819999999999897e-3, 9, 91
2.0879999999999896e-3, 9, 91
2.0939999999999895e-3, 9, 91
2.0999999999999895e-3, 9, 91
2.1059999999999894e-3, 9, 91
2.1119999999999893e-3, 9, 91
2.1179999999999892e-3, 9, 91
2.123999999999989e-3, 9, 91
2.129999999999989e-3, 9, 91
2.135999999999989e-3, 9, 91
2.141999999999989e-3, 9, 91
2.147999999999989e-3, 9, 91
2.153999999999989e-3, 9, 91
2.1599999999999888e-3, 9, 91
2.1659999999999887e-3, 9, 91
2.1719999999999886e-3, 9, 91
2.1779999999999885e-3, 9, 91
2.1839999999999885e-3, 9, 91
2.1899999999999884e-3, 9, 91
2.1959999999999883e-3, 9, 91
2.2019999999999883e-3, 9, 91
2.207999999999988e-3, 9, 91
2.213999999999988e-3, 9, 91
2.219999999999988e-3, 9, 91
2.225999999999988e-3, 9, 91
2.231999999999988e-3, 9, 91
2.237999999999988e-3, 9, 91
2.2439999999999878e-3, 9, 91
2.2499999999999877e-3, 9, 91
2.2559999999999876e-3, 9, 91
2.2619999999999875e-3, 9, 91
2.2679999999999875e-3, 9, 91
2.2739999999999874e-3, 9, 91
2.2799999999999873e-3, 9, 91
2.2859999999999873e-3, 9, 91
2.291999999999987e-3, 9, 91
2.297999999999987e-3, 9, 91
2.303999999999987e-3, 9, 91
2.309999999999987e-3, 9, 91
2.315999999999987e-3, 9, 91
2.321999999999987e-3, 9, 91
2.3279999999999868e-3, 9, 91
2.3339999999999867e-3, 8, 92
2.3399999999999866e-3, 8, 92
2.3459999999999866e-3, 7, 93
2.3519999999999865e-3, 7, 93
2.3579999999999864e-3, 7, 93
2.3639999999999863e-3, 8, 92
2.3699999999999863e-3, 8, 92
2.375999999999986e-3, 8, 92
2.381999999999986e-3, 8, 92
2.387999999999986e-3, 8, 92
2.393999999999986e-3, 8, 92
2.399999999999986e-3, 8, 92
2.405999999999986e-3, 7, 93
2.4119999999999858e-3, 7, 93
2.4179999999999857e-3, 7, 93
2.4239999999999856e-3, 7, 93
2.4299999999999856e-3, 6, 94
2.4359999999999855e-3, 5, 95
2.4419999999999854e-3, 5, 95
2.4479999999999853e-3, 5, 95
2.4539999999999853e-3, 5, 95
2.459999999999985e-3, 5, 95
2.465999999999985e-3, 5, 95
2.471999999999985e-3, 5, 95
2.477999999999985e-3, 5, 95
2.483999999999985e-3, 5, 95
2.489999999999985e-3, 5, 95
2.4959999999999848e-3, 5, 95
2.5019999999999847e-3, 5, 95
2.5079999999999846e-3, 5, 95
2.5139999999999846e-3, 5, 95
2.5199999999999845e-3, 6, 94
2.5259999999999844e-3, 6, 94
2.5319999999999843e-3, 6, 94
2.5379999999999843e-3, 6, 94
2.543999999999984e-3, 6, 94
2.549999999999984e-3, 6, 94
2.555999999999984e-3, 6, 94
2.561999999999984e-3, 6, 94
2.567999999999984e-3, 6, 94
2.573999999999984e-3, 6, 94
2.5799999999999838e-3, 6, 94
2.5859999999999837e-3, 6, 94
2.5919999999999836e-3, 6, 94
2.5979999999999836e-3, 6, 94
2.6039999999999835e-3, 6, 94
2.6099999999999834e-3, 6, 94
2.6159999999999834e-3, 6, 94
2.6219999999999833e-3, 6, 94
2.627999999999983e-3, 6, 94
2.633999999999983e-3, 6, 94
2.639999999999983e-3, 6, 94
2.645999999999983e-3, 6, 94
2.651999999999983e-3, 6, 94
2.657999999999983e-3, 6, 94
2.663999999999983e-3, 6, 94
2.6699999999999827e-3, 6, 94
2.6759999999999826e-3, 6, 94
2.6819999999999826e-3, 6, 94
2.6879999999999825e-3, 6, 94
2.6939999999999824e-3, 6, 94
2.6999999999999824e-3, 6, 94
2.7059999999999823e-3, 6, 94
2.7119999999999822e-3, 6, 94
2.717999999999982e-3, 6, 94
2.723999999999982e-3, 6, 94
2.729999999999982e-3, 6, 94
2.735999999999982e-3, 6, 94
2.741999999999982e-3, 5, 95
2.747999999999982e-3, 5, 95
2.7539999999999817e-3, 5, 95
2.7599999999999817e-3, 5, 95
2.7659999999999816e-3, 5, 95
2.7719999999999815e-3, 5, 95
2.7779999999999814e-3, 5, 95
2.7839999999999814e-3, 6, 94
2.7899999999999813e-3, 6, 94
2.7959999999999812e-3, 6, 94
2.801999999999981e-3, 6, 94
2.807999999999981e-3, 6, 94
2.813999999999981e-3, 6, 94
2.819999999999981e-3, 6, 94
2.825999999999981e-3, 6, 94
2.831999999999981e-3, 6, 94
2.8379999999999807e-3, 6, 94
2.8439999999999807e-3, 6, 94
2.8499999999999806e-3, 6, 94
2.8559999999999805e-3, 6, 94
2.8619999999999804e-3, 6, 94
2.8679999999999804e-3, 6, 94
2.8739999999999803e-3, 6, 94
2.8799999999999802e-3, 6, 94
2.88599999999998e-3, 6, 94
2.89199999999998e-3, 6, 94
2.89799999999998e-3, 6, 94
2.90399999999998e-3, 6, 94
2.90999999999998e-3, 6, 94
2.91599999999998e-3, 6, 94
2.9219999999999797e-3, 6, 94
2.9279999999999797e-3, 6, 94
2.9339999999999796e-3, 6, 94
2.9399999999999795e-3, 6, 94
2.9459999999999795e-3, 6, 94
2.9519999999999794e-3, 6, 94
2.9579999999999793e-3, 6, 94
2.9639999999999792e-3, 6, 94
2.969999999999979e-3, 6, 94
2.975999999999979e-3, 6, 94
2.981999999999979e-3, 6, 94
2.987999999999979e-3, 6, 94
2.993999999999979e-3, 6, 94
2.999999999999979e-3, 6, 94
3.0059999999999787e-3, 6, 94
3.0119999999999787e-3, 6, 94
3.0179999999999786e-3, 6, 94
3.0239999999999785e-3, 6, 94
3.0299999999999785e-3, 6, 94
3.0359999999999784e-3, 6, 94
3.0419999999999783e-3, 6, 94
3.0479999999999782e-3, 6, 94
3.053999999999978e-3, 6, 94
3.059999999999978e-3, 6, 94
3.065999999999978e-3, 6, 94
3.071999999999978e-3, 6, 94
3.077999999999978e-3, 6, 94
3.083999999999978e-3, 6, 94
3.0899999999999777e-3, 6, 94
3.0959999999999777e-3, 6, 94
3.1019999999999776e-3, 6, 94
3.1079999999999775e-3, 6, 94
3.1139999999999775e-3, 6, 94
3.1199999999999774e-3, 6, 94
3.1259999999999773e-3, 6, 94
3.1319999999999773e-3, 6, 94
3.137999999999977e-3, 6, 94
3.143999999999977e-3, 6, 94
3.149999999999977e-3, 6, 94
3.155999999999977e-3, 6, 94
3.161999999999977e-3, 6, 94
3.167999999999977e-3, 6, 94
3.1739999999999768e-3, 6, 94
3.1799999999999767e-3, 6, 94
3.1859999999999766e-3, 6, 94
3.1919999999999765e-3, 6, 94
3.1979999999999765e-3, 5, 95
3.2039999999999764e-3, 5, 95
3.2099999999999763e-3, 5, 95
3.2159999999999763e-3, 5, 95
3.221999999999976e-3, 5, 95
3.227999999999976e-3, 5, 95
3.233999999999976e-3, 5, 95
3.239999999999976e-3, 5, 95
3.245999999999976e-3, 5, 95
3.251999999999976e-3, 5, 95
3.2579999999999758e-3, 5, 95
3.2639999999999757e-3, 5, 95
3.2699999999999756e-3, 5, 95
3.2759999999999755e-3, 5, 95
3.2819999999999755e-3, 5, 95
3.2879999999999754e-3, 5, 95
3.2939999999999753e-3, 5, 95
3.2999999999999753e-3, 5, 95
3.305999999999975e-3, 5, 95
3.311999999999975e-3, 5, 95
3.317999999999975e-3, 5, 95
3.323999999999975e-3, 5, 95
3.329999999999975e-3, 5, 95
3.335999999999975e-3, 5, 95
3.3419999999999748e-3, 5, 95
3.3479999999999747e-3, 5, 95
3.3539999999999746e-3, 5, 95
3.3599999999999746e-3, 5, 95
3.3659999999999745e-3, 5, 95
3.3719999999999744e-3, 5, 95
3.3779999999999743e-3, 5, 95
3.3839999999999743e-3, 5, 95
3.389999999999974e-3, 5, 95
3.395999999999974e-3, 5, 95
3.401999999999974e-3, 5, 95
3.407999999999974e-3, 6, 94
3.413999999999974e-3, 6, 94
3.419999999999974e-3, 6, 94
3.4259999999999738e-3, 6, 94
3.4319999999999737e-3, 6, 94
3.4379999999999736e-3, 6, 94
3.4439999999999736e-3, 6, 94
3.4499999999999735e-3, 6, 94
3.4559999999999734e-3, 6, 94
3.4619999999999733e-3, 6, 94
3.4679999999999733e-3, 6, 94
3.473999999999973e-3, 6, 94
3.479999999999973e-3, 6, 94
3.485999999999973e-3, 6, 94
3.491999999999973e-3, 6, 94
3.497999999999973e-3, 6, 94
3.503999999999973e-3, 7, 93
3.5099999999999728e-3, 7, 93
3.5159999999999727e-3, 7, 93
3.5219999999999726e-3, 7, 93
3.5279999999999726e-3, 7, 93
